service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
A1,0,1,1,1,1,1,0,2021-07-12,2021-12-19
A2,0,0,0,0,0,0,1,2021-07-12,2021-12-19
A3,1,0,0,0,0,0,1,2021-07-12,2021-12-19
A4,1,0,0,0,0,0,0,2021-07-12,2021-12-19
B1,0,1,1,1,1,1,0,2021-12-20,2021-12-26
B2,0,0,0,0,0,0,1,2021-12-20,2021-12-26
B3,1,0,0,0,0,0,1,2021-12-20,2021-12-26
B4,1,0,0,0,0,0,0,2021-12-20,2021-12-26
C1,0,1,1,1,1,1,0,2021-12-27,2022-01-02
C2,0,0,0,0,0,0,1,2021-12-27,2022-01-02
C3,1,0,0,0,0,0,1,2021-12-27,2022-01-02
C4,1,0,0,0,0,0,0,2021-12-27,2022-01-02
D1,0,1,1,1,1,1,0,2022-01-03,2022-01-09
D2,0,0,0,0,0,0,1,2022-01-03,2022-01-09
D3,1,0,0,0,0,0,1,2022-01-03,2022-01-09
D4,1,0,0,0,0,0,0,2022-01-03,2022-01-09
A1A,0,1,1,1,1,1,0,2022-01-10,2022-12-31
A2A,0,0,0,0,0,0,1,2022-01-10,2022-12-31
A3A,1,0,0,0,0,0,1,2022-01-10,2022-12-31
A4A,1,0,0,0,0,0,0,2022-01-10,2022-12-31
