stop_id,stop_name,lat,lon,zone_id,stop_url,wheelchair_boarding
GENEVA,Geneva,41.8816667,-88.31,H,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/GENEVA,1
WCHICAGO,West Chicago,41.8811111,-88.1988889,F,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/WCHICAGO,1
WINFIELD,Winfield,41.87,-88.1569444,F,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/WINFIELD,1
WHEATON,Wheaton,41.8644444,-88.1119444,E,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/WHEATON,1
COLLEGEAVE,College Ave,41.8683333,-88.0902778,E,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/COLLEGEAVE,1
GLENELLYN,Glen Ellyn,41.8766667,-88.0647222,E,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/GLENELLYN,1
LOMBARD,Lombard,41.8866667,-88.0186111,D,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/LOMBARD,1
VILLAPARK,Villa Park,41.8963889,-87.9775,D,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/VILLAPARK,1
ELMHURST,Elmhurst,41.8997222,-87.9408333,D,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/ELMHURST,1
BERKELEY,Berkeley,41.8961111,-87.9152778,C,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/BERKELEY,1
BELLWOOD,Bellwood,41.8913889,-87.8825,C,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/BELLWOOD,1
MELROSEPK,Melrose Park,41.8902778,-87.8555556,C,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/MELROSEPK,1
MAYWOOD,Maywood,41.8883333,-87.8386111,C,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/MAYWOOD,1
RIVRFOREST,River Forest,41.8869444,-87.825,B,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/RIVRFOREST,0
OAKPARK,Oak Park,41.8869444,-87.8011111,B,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/OAKPARK,1
KEDZIE,Kedzie,41.8883333,-87.7069444,A,https://metrarail.com/maps-schedules/train-lines/UP-W/stations/KEDZIE,0
AURORA,Aurora,41.7608333,-88.3083333,H,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/AURORA,1
ROUTE59,Route 59,41.7777778,-88.2086111,G,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/ROUTE59,1
NAPERVILLE,Naperville,41.7797222,-88.1455556,F,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/NAPERVILLE,1
LISLE,Lisle,41.7977778,-88.0719444,E,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/LISLE,1
BELMONT,Belmont,41.7952778,-88.0380556,E,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/BELMONT,1
MAINST-DG,Downers Grove,41.7952778,-88.0097222,E,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/MAINST-DG,1
FAIRVIEWDG,Fairview Ave.,41.7952778,-87.9936111,E,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/FAIRVIEWDG,1
WESTMONT,Westmont,41.7955556,-87.9763889,D,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/WESTMONT,1
CLARNDNHIL,Clarendon Hills,41.7969444,-87.9536111,D,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/CLARNDNHIL,1
WHINSDALE,West Hinsdale,41.7988889,-87.9452778,D,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/WHINSDALE,1
HINSDALE,Hinsdale,41.8027778,-87.9283333,D,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/HINSDALE,1
HIGHLANDS,Highlands,41.805,-87.9183333,D,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/HIGHLANDS,0
WESTSPRING,Western Springs,41.8088889,-87.9011111,D,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/WESTSPRING,1
STONEAVE,Stone Ave.,41.8141667,-87.8783333,C,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/STONEAVE,0
LAGRANGE,LaGrange Road,41.8158333,-87.8711111,C,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/LAGRANGE,1
CONGRESSPK,Congress Park,41.8188889,-87.8575,C,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/CONGRESSPK,0
BROOKFIELD,Brookfield,41.8219444,-87.8430556,C,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/BROOKFIELD,1
HOLLYWOOD,Hollywood,41.8244444,-87.8338889,C,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/HOLLYWOOD,1
RIVERSIDE,Riverside,41.8272222,-87.82,C,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/RIVERSIDE,1
HARLEM,Harlem Ave.,41.8313889,-87.8019444,B,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/HARLEM,1
BERWYN,Berwyn,41.8330556,-87.7936111,B,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/BERWYN,1
LAVERGNE,Lavergne,41.8355556,-87.7833333,B,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/LAVERGNE,1
CICERO,Cicero,41.8441667,-87.7455556,B,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/CICERO,0
BNWESTERN,Western Avenue,41.8577778,-87.6852778,A,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/BNWESTERN,0
HALSTED,Halsted Street,41.8602778,-87.6472222,A,https://metrarail.com/maps-schedules/train-lines/BNSF/stations/HALSTED,0
JOLIET,Joliet,41.5244444,-88.0797222,H,https://metrarail.com/maps-schedules/train-lines/RI/stations/JOLIET,1
LOCKPORT,Lockport,41.585,-88.0602778,G,https://metrarail.com/maps-schedules/train-lines/HC/stations/LOCKPORT,1
LEMONT,Lemont,41.6736111,-88.0025,E,https://metrarail.com/maps-schedules/train-lines/HC/stations/LEMONT,1
WILLOWSPRN,Willow Springs,41.7333333,-87.8783333,D,https://metrarail.com/maps-schedules/train-lines/HC/stations/WILLOWSPRN,1
SUMMIT,Summit,41.795,-87.8097222,C,https://metrarail.com/maps-schedules/train-lines/HC/stations/SUMMIT,1
179TH-SWS,Orland Park 179th,41.5638889,-87.9025,F,https://metrarail.com/maps-schedules/train-lines/SWS/stations/179TH-SWS,1
153RD-SWS,Orland Park 153rd,41.6094444,-87.8733333,E,https://metrarail.com/maps-schedules/train-lines/SWS/stations/153RD-SWS,1
143RD-SWS,Orland Park 143rd,41.6305556,-87.8591667,E,https://metrarail.com/maps-schedules/train-lines/SWS/stations/143RD-SWS,1
PALOSPARK,Palos Park,41.6688889,-87.8202778,E,https://metrarail.com/maps-schedules/train-lines/SWS/stations/PALOSPARK,1
WORTH,Worth,41.6913889,-87.7958333,D,https://metrarail.com/maps-schedules/train-lines/SWS/stations/WORTH,1
CHICRIDGE,Chicago Ridge,41.7033333,-87.7802778,D,https://metrarail.com/maps-schedules/train-lines/SWS/stations/CHICRIDGE,1
OAKLAWN,Oak Lawn Patriot,41.7194444,-87.7486111,D,https://metrarail.com/maps-schedules/train-lines/SWS/stations/OAKLAWN,1
ASHBURN,Ashburn,41.7416667,-87.7125,C,https://metrarail.com/maps-schedules/train-lines/SWS/stations/ASHBURN,1
WRIGHTWOOD,Wrightwood,41.7488889,-87.7036111,C,https://metrarail.com/maps-schedules/train-lines/SWS/stations/WRIGHTWOOD,1
CLYBOURN,Clybourn,41.9169444,-87.6680556,A,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/CLYBOURN,0
RAVENSWOOD,Ravenswood,41.9683333,-87.6744444,B,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/RAVENSWOOD,0
ROGERPK,Rogers Park,42.0094444,-87.6755556,B,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/ROGERPK,1
MAINST,Main St.,42.0333333,-87.68,C,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/MAINST,1
EVANSTON,Evanston (Davis St.),42.0480556,-87.6847222,C,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/EVANSTON,1
CENTRALST,Central St.,42.0641667,-87.6980556,C,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/CENTRALST,1
WILMETTE,Wilmette,42.0772222,-87.7091667,C,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/WILMETTE,1
KENILWORTH,Kenilworth,42.0863889,-87.7166667,D,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/KENILWORTH,1
WINNETKA,Winnetka,42.1052778,-87.7327778,D,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/WINNETKA,1
HUBARDWOOD,Hubbard Woods,42.1180556,-87.7436111,D,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/HUBARDWOOD,0
GLENCOE,Glencoe,42.1355556,-87.7580556,D,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/GLENCOE,1
BRAESIDE,Braeside,42.1527778,-87.7725,E,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/BRAESIDE,1
RAVINIA,Ravinia,42.165,-87.7827778,E,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/RAVINIA,1
HIGHLANDPK,Highland Park,42.1833333,-87.7975,E,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/HIGHLANDPK,1
HIGHWOOD,Highwood,42.2033333,-87.8105556,E,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/HIGHWOOD,1
FTSHERIDAN,Fort Sheridan,42.2175,-87.8208333,F,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/FTSHERIDAN,1
LKFOREST,Lake Forest.,42.2525,-87.8397222,F,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/LKFOREST,1
LAKEBLUFF,Lake Bluff,42.2797222,-87.8466667,G,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/LAKEBLUFF,1
GRTLAKES,Great Lakes,42.3069444,-87.8463889,G,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/GRTLAKES,1
NCHICAGO,North Chicago,42.3286111,-87.8369444,G,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/NCHICAGO,1
WAUKEGAN,Waukegan,42.3605556,-87.8283333,H,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/WAUKEGAN,1
ZION,Zion,42.4491667,-87.8180556,I,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/ZION,1
WINTHROP,Winthrop Harbor,42.4827778,-87.8161111,I,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/WINTHROP,1
FOXLAKE,Fox Lake,42.3983333,-88.1822222,J,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/FOXLAKE,1
INGLESIDE,Ingleside,42.3838889,-88.1536111,J,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/INGLESIDE,1
LONGLAKE,Long Lake,42.3680556,-88.1280556,J,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/LONGLAKE,1
ROUNDLAKE,Round Lake,42.3544444,-88.0941667,I,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/ROUNDLAKE,1
GRAYSLAKE,Grayslake,42.3336111,-88.0433333,I,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/GRAYSLAKE,1
LIBERTYVIL,Libertyville,42.2911111,-87.9563889,H,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/LIBERTYVIL,1
LAKEFRST,Lake Forest,42.2236111,-87.8747222,F,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/LAKEFRST,1
DEERFIELD,Deerfield,42.1680556,-87.85,E,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/DEERFIELD,1
LAKECOOKRD,Lake-Cook,42.1516667,-87.8413889,E,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/LAKECOOKRD,1
NBROOK,Northbrook,42.1269444,-87.8277778,E,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/NBROOK,1
NGLENVIEW,Glen/N. Glenview,42.0975,-87.8158333,D,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/NGLENVIEW,1
GLENVIEW,Glenview,42.075,-87.8055556,D,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/GLENVIEW,1
GOLF,Golf,42.0583333,-87.7969444,D,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/GOLF,1
MORTONGRV,Morton Grove,42.035,-87.7852778,C,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/MORTONGRV,1
EDGEBROOK,Edgebrook,41.9977778,-87.7655556,C,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/EDGEBROOK,1
FORESTGLEN,Forest Glen,41.9780556,-87.7555556,C,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/FORESTGLEN,0
MAYFAIR,Mayfair,41.9597222,-87.7458333,B,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/MAYFAIR,0
GRAYLAND,Grayland,41.9488889,-87.7402778,B,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/GRAYLAND,0
HEALY,Healy,41.9247222,-87.7277778,B,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/HEALY,1
WESTERNAVE,Western Ave,41.8891667,-87.6880556,A,https://metrarail.com/maps-schedules/train-lines/MD-N/stations/WESTERNAVE,1
RAVINIAPK,Ravinia Park,42.1580556,-87.7769444,E,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/RAVINIAPK,1
INDIANHILL,Indian Hill,42.0944444,-87.7238889,D,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/INDIANHILL,0
KENOSHA,Kenosha,42.5858333,-87.8258333,J,https://metrarail.com/maps-schedules/train-lines/UP-N/stations/KENOSHA,1
HARVARD,Harvard,42.4197222,-88.6175,J,https://metrarail.com/maps-schedules/train-lines/UP-NW/stations/HARVARD,1
WOODSTOCK,Woodstock,42.3169444,-88.4475,J,https://metrarail.com/maps-schedules/train-lines/UP-NW/stations/WOODSTOCK,1
CRYSTAL,Crystal Lake,42.2441667,-88.3172222,I,https://metrarail.com/maps-schedules/train-lines/UP-NW/stations/CRYSTAL,1
MCHENRY,McHenry,42.3433333,-88.2761111,J,https://metrarail.com/maps-schedules/train-lines/UP-NW/stations/MCHENRY,1
CARY,Cary,42.2088889,-88.2413889,H,https://metrarail.com/maps-schedules/train-lines/UP-NW/stations/CARY,1
FOXRG,Fox River Grove,42.1977778,-88.2194444,H,https://metrarail.com/maps-schedules/train-lines/UP-NW/stations/FOXRG,1
BARRINGTON,Barrington,42.1527778,-88.1319444,G,https://metrarail.com/maps-schedules/train-lines/UP-NW/stations/BARRINGTON,1
PALATINE,Palatine,42.1130556,-88.0483333,F,https://metrarail.com/maps-schedules/train-lines/UP-NW/stations/PALATINE,1
